v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[Nm]
0.000	0.000	0.113036	0.069305	0.000054	9.999999	9.999999	0.01	0.01	11.00 !	0.00	2300	112.000	2.534	464.9
0.050	0.016	0.109477	0.057069	0.088652	9.999999	9.999999	9.59	16.99	71.00 !	3.85	2454	112.000	2.794	435.8
0.100	0.032	0.113678	0.068717	0.170839	9.999999	9.999999	16.54	30.45	18.00 !	7.23	2307	112.000	2.563	463.6
0.150	0.048	0.112957	0.070010	0.255305	9.999999	9.999999	24.20	41.82	0.00 !	10.78	2293	112.000	2.516	466.5
0.200	0.064	0.112013	0.071482	0.338993	7.130979	9.999999	31.34	51.18	0.00 !	14.27	2277	112.000	2.460	469.7
0.250	0.080	0.111091	0.071492	0.423729	4.526246	9.999999	38.85	58.83	0.00	17.83	2277	112.000	2.440	469.8
0.300	0.095	0.110213	0.068894	0.512254	3.118385	6.497667	47.99	65.08	0.00	21.67	2305	112.000	2.481	464.0
0.350	0.111	0.108154	0.070025	0.595686	2.248265	4.158987	54.06	70.37	0.00	25.14	2292	112.000	2.408	466.5
0.400	0.127	0.104408	0.070340	0.680173	1.661709	2.798743	59.37	74.98	0.00	28.69	2289	112.000	2.318	467.2
0.450	0.143	0.099320	0.069807	0.766361	1.248964	1.950736	64.03	78.99	0.00	32.36	2295	112.000	2.216	466.0
0.500	0.159	0.092930	0.068264	0.855325	0.946578	1.390671	68.07	82.50	0.00	36.22	2312	112.000	2.105	462.6
0.550	0.175	0.085967	0.066087	0.946977	0.723679	1.011505	71.54	85.51	0.00	40.28	2337	112.000	1.989	457.6
0.600	0.191	0.078287	0.063066	1.042778	0.553765	0.743505	74.48	88.13	0.00	44.63	2374	112.000	1.869	450.5
0.650	0.207	0.070495	0.059535	1.142770	0.424885	0.552044	76.97	90.34	0.00	49.29	2420	112.000	1.749	442.0
0.700	0.223	0.062538	0.055400	1.248521	0.325002	0.411299	79.02	92.23	0.00	54.37	2479	112.000	1.628	431.5
0.750	0.239	0.054292	0.050636	1.361976	0.245783	0.305644	80.41	93.85	0.00	60.02	2554	112.000	1.501	418.7
0.800	0.255	0.045914	0.045214	1.486060	0.182686	0.224874	81.24	95.24	0.00	66.49	2652	112.000	1.369	403.2
0.850	0.271	0.037379	0.039139	1.625161	0.131745	0.162292	81.18	96.44	0.00	74.12	2783	112.000	1.227	384.3
0.860	0.274	0.035652	0.037843	1.655396	0.122751	0.151505	81.02	96.66	0.00	75.84	2814	112.000	1.197	380.0
0.870	0.277	0.033918	0.036519	1.686614	0.114112	0.141221	80.80	96.87	0.00	77.64	2848	112.000	1.166	375.5
0.880	0.280	0.032178	0.035167	1.718917	0.105810	0.131411	80.52	97.08	0.00	79.52	2884	112.000	1.134	370.8
0.890	0.283	0.030430	0.033788	1.752421	0.097828	0.122047	80.16	97.28	0.00	81.51	2923	112.000	1.101	365.9
0.900	0.286	0.028676	0.032380	1.787260	0.090153	0.113106	79.71	97.48	0.00	83.60	2965	112.000	1.068	360.8
0.910	0.290	0.026915	0.030943	1.823593	0.082767	0.104564	79.15	97.67	0.00	85.82	3010	112.000	1.033	355.3
0.920	0.293	0.025150	0.029480	1.861581	0.075666	0.096406	78.49	97.86	0.00	88.17	3059	112.000	0.997	349.7
0.930	0.296	0.023371	0.027982	1.901551	0.068809	0.088586	77.67	98.04	0.00	90.70	3112	112.000	0.959	343.6
0.940	0.299	0.021595	0.026464	1.943558	0.062235	0.081135	76.71	98.22	0.00	93.39	3171	112.000	0.920	337.3
0.950	0.302	0.019809	0.024913	1.988100	0.055892	0.073994	75.54	98.39	0.00	96.30	3235	112.000	0.878	330.6
0.960	0.306	0.017805	0.023397	2.034421	0.049196	0.067341	73.05	98.57	0.00	99.38	3304	112.000	0.823	323.7
0.970	0.309	0.015992	0.021781	2.085248	0.043282	0.060771	71.22	98.74	0.00	102.84	3383	112.000	0.776	316.1
0.980	0.312	0.014176	0.020137	2.140066	0.037586	0.054482	68.99	98.90	0.00	106.65	3473	112.000	0.724	307.9
0.990	0.315	0.012360	0.018471	2.199576	0.032113	0.048475	66.25	99.05	0.00	110.88	3575	112.000	0.669	299.2
1.000	0.318	0.010530	0.016768	2.265186	0.026815	0.042699	62.80	99.20	0.00	115.67	3692	112.000	0.608	289.7
1.010	0.321	0.008709	0.015051	2.337803	0.021741	0.037200	58.44	99.35	0.00	121.11	3827	112.000	0.540	279.5
1.020	0.325	0.006878	0.013301	2.420046	0.016834	0.031917	52.74	99.49	0.00	127.46	3988	112.000	0.463	268.2
1.030	0.328	0.005054	0.011535	2.514390	0.012131	0.026881	45.13	99.63	0.00	134.97	4182	112.000	0.374	255.7
1.040	0.331	0.003242	0.009761	2.625031	0.007633	0.022097	34.54	99.77	2.00	144.08	4421	112.000	0.269	241.9
1.050	0.334	0.001409	0.007942	2.761879	0.003254	0.017470	18.63	99.90	2.00	155.82	4736	112.000	0.134	225.8
1.060	0.337	-0.000390	0.006137	2.935742	-0.000884	0.013121	0.00	99.99	2.00	171.42	5161	112.000	-0.044	207.2
1.070	0.341	-0.002186	0.004315	3.179718	-0.004863	0.008969	0.00	99.99	2.00	194.59	5804	112.000	-0.312	184.3
1.080	0.344	-0.003943	0.002514	3.575519	-0.008608	0.005083	0.00	99.99	2.00	235.15	6949	112.000	-0.807	153.9
